County,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Chattooga,69.60509554,69.72611465,69.85031847,69.97133758,70.0955414,70.21974522,70.34076433,70.46496815,70.58598726,70.71019108,70.8343949,71.85987261,72.88853503,73.91719745,74.94585987,75.97452229,77,78.02866242,79.05732484,80.08598726,81.11464968,81.26751592,81.42038217,81.57324841,81.72611465,81.87898089,82.03184713,82.18471338,82.33757962,82.49044586,82.6433121,81.77388535,81.58917197,79.75796178,79.16878981,79.2866242,79.08598726,78.88535032
Cherokee,121.9316038,131.0117925,140.0943396,149.1745283,158.2570755,167.3372642,176.4198113,185.5,194.5825472,203.6627358,212.745283,224.9363208,237.129717,249.3231132,261.5165094,273.7099057,285.9033019,298.0966981,310.2900943,322.4834906,334.6768868,351.9599057,369.245283,386.5283019,403.8136792,421.0990566,438.3820755,455.6674528,472.9504717,490.2358491,507.5212264,513.7264151,520.6910377,529.4504717,543.3867925,555.245283,569.8113208,583.8985849
Clarke,615.6859504,626.5041322,637.3305785,648.1487603,658.9752066,669.8016529,680.6198347,691.446281,702.2644628,713.0909091,723.9173554,735.3966942,746.8842975,758.3636364,769.8512397,781.3305785,792.8181818,804.2975207,815.785124,827.2644628,838.7520661,851.9669421,865.1818182,878.3966942,891.6115702,904.8347107,918.0495868,931.2644628,944.4793388,957.6942149,970.9173554,978.785124,992.8512397,1000.77686,997.6942149,1023.760331,1033.206612,1050.115702
Clay,18.22051282,18.12307692,18.02564103,17.92820513,17.83076923,17.73333333,17.63589744,17.53846154,17.44102564,17.34358974,17.25128205,17.24615385,17.24102564,17.23589744,17.23589744,17.23076923,17.22564103,17.22564103,17.22051282,17.21538462,17.21538462,17.11794872,17.02564103,16.93333333,16.83589744,16.74358974,16.65128205,16.55384615,16.46153846,16.36923077,16.27692308,16.2,15.91282051,15.44615385,15.74358974,15.75384615,15.41538462,15.18974359
Clayton,1051.447552,1073.608392,1095.776224,1117.937063,1140.104895,1162.265734,1184.433566,1206.594406,1228.762238,1250.923077,1273.090909,1311.174825,1349.265734,1387.34965,1425.440559,1463.524476,1501.615385,1539.699301,1577.79021,1615.874126,1653.965035,1670.286713,1686.608392,1702.93007,1719.251748,1735.573427,1751.895105,1768.216783,1784.538462,1800.86014,1817.181818,1834.685315,1858.58042,1849.727273,1869.965035,1913.811189,1958.083916,1994.076923
Clinch,8.232385661,8.170580964,8.108776267,8.04697157,7.985166873,7.923362176,7.861557478,7.799752781,7.737948084,7.676143387,7.61433869,7.70210136,7.791100124,7.880098888,7.969097651,8.058096415,8.145859085,8.234857849,8.323856613,8.412855377,8.501854141,8.488257108,8.474660074,8.461063041,8.448702101,8.435105068,8.421508035,8.409147095,8.395550062,8.381953028,8.369592089,8.322620519,8.292954265,8.374536465,8.405438813,8.467243511,8.39184178,8.315203956
Cobb,875.6411765,919.7647059,963.8911765,1008.017647,1052.141176,1096.267647,1140.394118,1184.517647,1228.644118,1272.770588,1316.897059,1363.955882,1411.017647,1458.076471,1505.138235,1552.2,1599.258824,1646.320588,1693.379412,1740.441176,1787.502941,1811.573529,1835.644118,1859.717647,1883.788235,1907.861765,1931.932353,1956.002941,1980.076471,2004.147059,2028.220588,2051.273529,2081.026471,2109.414706,2146.776471,2182.420588,2207.285294,2222.805882
Coffee,44.89816361,45.34724541,45.79799666,46.24874791,46.69949917,47.15025042,47.59933222,48.05008347,48.50083472,48.95158598,49.40233723,50.70784641,52.01335559,53.31886477,54.62437396,55.92988314,57.23539232,58.5409015,59.84641068,61.15191987,62.4590985,63.34724541,64.23706177,65.12520868,66.01502504,66.90317195,67.79298831,68.68113523,69.57095159,70.4590985,71.34891486,71.83973289,72.08347245,72.01502504,71.74791319,71.95158598,71.81135225,71.8096828
Colquitt,64.08695652,64.31521739,64.54528986,64.77536232,65.00543478,65.23550725,65.46557971,65.69565217,65.92572464,66.1557971,66.38586957,67.36413043,68.3442029,69.32427536,70.30434783,71.28442029,72.26268116,73.24275362,74.22282609,75.20289855,76.18297101,76.83333333,77.48550725,78.13586957,78.78804348,79.44021739,80.09057971,80.74275362,81.39311594,82.04528986,82.69746377,83.06521739,83.5634058,83.78985507,83.38586957,82.72644928,82.73731884,83.03442029
Columbia,138.337931,147.2724138,156.2068966,165.1413793,174.0793103,183.0137931,191.9482759,200.8862069,209.8206897,218.7551724,227.6931034,235.7103448,243.7310345,251.7517241,259.7689655,267.7896552,275.8103448,283.8275862,291.8482759,299.8689655,307.8896552,320.2034483,332.5206897,344.8344828,357.1517241,369.4689655,381.7827586,394.1,406.4137931,418.7310345,431.0482759,444.5310345,457.5172414,469.9758621,480.2931034,496.5758621,508.4517241,522.6862069
Cook,58.90829694,58.89082969,58.87772926,58.86026201,58.84716157,58.83406114,58.81659389,58.80349345,58.7860262,58.77292576,58.75982533,59.76855895,60.78165939,61.79039301,62.80349345,63.81222707,64.82532751,65.83406114,66.84716157,67.8558952,68.86899563,69.48471616,70.10480349,70.72489083,71.34497817,71.9650655,72.58078603,73.20087336,73.8209607,74.44104803,75.06113537,74.43231441,73.88209607,74.5371179,75.62882096,74.65938865,75.05240175,75.44541485
Coweta,88.64108352,91.93227991,95.22573363,98.51693002,101.8103837,105.1015801,108.3950339,111.6862302,114.979684,118.2708804,121.5643341,129.5462754,137.5282167,145.510158,153.4920993,161.476298,169.4582393,177.4401806,185.4221219,193.4040632,201.3882619,210.1241535,218.8600451,227.5959368,236.3318284,245.0677201,253.8036117,262.5395034,271.275395,280.0112867,288.7471783,292.0835214,294.9074492,300.2167043,305.3408578,312.0248307,317.0925508,323.0564334
Crawford,23.64307692,24.04307692,24.44615385,24.84923077,25.24923077,25.65230769,26.05538462,26.45538462,26.85846154,27.26153846,27.66461538,28.74153846,29.81846154,30.89846154,31.97538462,33.05538462,34.13230769,35.20923077,36.28923077,37.36615385,38.44615385,38.48307692,38.52,38.55692308,38.59384615,38.63076923,38.66769231,38.70461538,38.74153846,38.77846154,38.81846154,38.81538462,38.80615385,38.49538462,38.26153846,38.13230769,37.81846154,37.83076923
Crisp,71.12773723,71.31751825,71.50729927,71.69708029,71.88686131,72.08029197,72.27007299,72.45985401,72.64963504,72.83941606,73.03284672,73.75547445,74.48175182,75.20437956,75.93065693,76.65328467,77.37956204,78.10218978,78.82846715,79.55109489,80.27737226,80.80291971,81.32846715,81.8540146,82.37956204,82.90875912,83.43430657,83.95985401,84.48540146,85.01094891,85.54014599,86.7189781,86.12408759,85.09489051,84.2189781,83.80291971,83.70437956,82.97810219
Dade,70.79310345,71.26436782,71.74137931,72.2183908,72.6954023,73.17241379,73.64942529,74.12643678,74.60344828,75.08045977,75.55747126,76.70689655,77.86206897,79.01724138,80.16666667,81.32183908,82.47701149,83.62643678,84.7816092,85.93678161,87.09195402,87.93103448,88.77586207,89.61494253,90.45977011,91.3045977,92.14367816,92.98850575,93.82758621,94.67241379,95.51724138,95.33908046,94.87356322,94.51149425,93.57471264,92.85632184,93.34482759,93.59195402
Dawson,22.62559242,24.82938389,27.03791469,29.24170616,31.45023697,33.65402844,35.86255924,38.06635071,40.27488152,42.47867299,44.68720379,47.80094787,50.91469194,54.02843602,57.14218009,60.25592417,63.36966825,66.48341232,69.5971564,72.71090047,75.82464455,78.80094787,81.78199052,84.76303318,87.74407583,90.72511848,93.70616114,96.68720379,99.66824645,102.6492891,105.6303318,105.6540284,106.478673,107.5165877,108.9478673,110.507109,111.9099526,115.5402844
DeKalb,1802.328358,1825.764925,1849.201493,1872.63806,1896.078358,1919.514925,1942.951493,1966.391791,1989.828358,2013.264925,2036.705224,2081.488806,2126.276119,2171.063433,2215.850746,2260.63806,2305.421642,2350.208955,2394.996269,2439.783582,2484.570896,2494.533582,2504.5,2514.466418,2524.429104,2534.395522,2544.36194,2554.324627,2564.291045,2574.257463,2584.223881,2610.761194,2651.507463,2676.570896,2707.63806,2751.559701,2786.156716,2810.645522
Decatur,42.70519263,42.70686767,42.71021776,42.7118928,42.71524288,42.71859296,42.72026801,42.72361809,42.72529313,42.72864322,42.7319933,43.18760469,43.64489112,44.10217755,44.55946399,45.01675042,45.47403685,45.93132328,46.38860972,46.84589615,47.30318258,47.23115578,47.15912898,47.08710218,47.01675042,46.94472362,46.87269682,46.80234506,46.73031826,46.65829146,46.5879397,46.32663317,45.98994975,45.9078727,45.55108878,45.36515913,44.74874372,44.75041876
Dodge,33.84231537,33.97205589,34.10179641,34.23153693,34.36127745,34.49301397,34.62275449,34.75249501,34.88223553,35.01197605,35.14371257,35.45508982,35.76646707,36.07984032,36.39121756,36.70459082,37.01596806,37.32734531,37.64071856,37.95209581,38.26546906,38.78243513,39.2994012,39.81636727,40.33333333,40.8502994,41.36726547,41.88423154,42.4011976,42.91816367,43.43512974,43.13572854,42.94411178,42.7744511,42.26946108,42.19760479,41.59081836,41.37724551
Dooly,27.54707379,27.31043257,27.07633588,26.83969466,26.60559796,26.36895674,26.13486005,25.89821883,25.66412214,25.42748092,25.19338422,25.60559796,26.0178117,26.43256997,26.84478372,27.25954198,27.67175573,28.08396947,28.49872774,28.91094148,29.32569975,30.16793893,31.01272265,31.85496183,32.69974555,33.54198473,34.38676845,35.22900763,36.07379135,36.91603053,37.76081425,37.15012723,36.65903308,36.55470738,36.24681934,35.70992366,35.3307888,34.95419847
Dougherty,305.2060606,303.869697,302.5333333,301.1969697,299.8636364,298.5272727,297.1909091,295.8575758,294.5212121,293.1848485,291.8515152,291.7757576,291.7,291.6272727,291.5515152,291.4787879,291.4030303,291.3272727,291.2545455,291.1787879,291.1060606,290.6363636,290.1666667,289.6969697,289.2272727,288.7606061,288.2909091,287.8212121,287.3515152,286.8818182,286.4151515,288.0666667,286.9393939,282.9939394,281.0727273,277.4818182,273.9242424,271.2181818
Douglas,274.2361809,282.5477387,290.8643216,299.1809045,307.4924623,315.8090452,324.1256281,332.4371859,340.7537688,349.0703518,357.3869347,367.9648241,378.5427136,389.1256281,399.7035176,410.2864322,420.8643216,431.4422111,442.0251256,452.6030151,463.1859296,483.5075377,503.8291457,524.1507538,544.4723618,564.7939698,585.1155779,605.4371859,625.758794,646.080402,666.4020101,669.4623116,671.8743719,684.241206,694.6180905,705.8592965,713.6733668,723.0251256
Early,25.74951076,25.49315068,25.23874755,24.98238748,24.72798434,24.47358121,24.21722114,23.962818,23.70645793,23.45205479,23.19765166,23.29549902,23.39334638,23.49119374,23.5890411,23.68688845,23.78473581,23.88258317,23.98043053,24.07827789,24.17612524,23.90606654,23.63796477,23.36790607,23.09980431,22.83170254,22.56164384,22.29354207,22.02348337,21.7553816,21.48727984,21.1037182,20.81409002,20.6183953,20.43835616,20.4481409,20.15264188,20.14872798
Echols,5.685643564,5.693069307,5.702970297,5.712871287,5.72029703,5.73019802,5.74009901,5.747524752,5.757425743,5.767326733,5.777227723,6.128712871,6.48019802,6.831683168,7.183168317,7.534653465,7.886138614,8.237623762,8.589108911,8.940594059,9.292079208,9.358910891,9.425742574,9.492574257,9.559405941,9.626237624,9.693069307,9.75990099,9.826732673,9.893564356,9.962871287,10.11633663,9.878712871,9.948019802,10.04950495,10.0470297,9.853960396,9.742574257
Effingham,38.18125,39.71458333,41.24791667,42.78125,44.31458333,45.84791667,47.38125,48.91458333,50.44791667,51.98125,53.51458333,55.98125,58.45,60.91875,63.3875,65.85625,68.32291667,70.79166667,73.26041667,75.72916667,78.19791667,81.30833333,84.41875,87.52916667,90.63958333,93.75,96.86041667,99.97083333,103.08125,106.1916667,109.3020833,109.7875,111.1416667,113.4104167,115.4458333,118.8479167,121.9854167,124.9625
Elbert,50.83468835,50.88617886,50.93766938,50.98915989,51.04065041,51.09214092,51.14363144,51.19512195,51.24661247,51.29810298,51.35230352,51.77506775,52.19783198,52.62059621,53.04336043,53.46883469,53.89159892,54.31436314,54.73712737,55.1598916,55.58536585,55.47425474,55.36314363,55.25203252,55.14363144,55.03252033,54.92140921,54.81300813,54.70189702,54.59078591,54.48238482,53.72086721,53.05691057,52.81842818,52.55826558,52.3197832,51.87804878,51.78590786
Emanuel,30.31341108,30.27696793,30.24052478,30.20408163,30.16763848,30.13119534,30.09475219,30.05830904,30.02186589,29.98542274,29.95043732,30.13848397,30.32653061,30.51457726,30.70262391,30.89067055,31.0787172,31.26676385,31.4548105,31.64285714,31.83236152,31.94314869,32.05539359,32.16763848,32.27842566,32.39067055,32.50291545,32.61370262,32.72594752,32.83819242,32.95043732,32.78571429,33.14577259,32.99271137,32.77113703,32.74635569,32.65889213,32.8425656
Evans,45.55675676,45.71351351,45.87567568,46.03243243,46.19459459,46.35675676,46.51351351,46.67567568,46.83243243,46.99459459,47.15675676,48.11351351,49.07027027,50.02702703,50.98378378,51.94054054,52.8972973,53.85405405,54.81081081,55.76756757,56.72972973,57.01081081,57.2972973,57.58378378,57.87027027,58.15675676,58.43783784,58.72432432,59.01081081,59.2972973,59.58378378,59.38378378,57.76756757,58.41081081,58.52432432,57.87567568,57.66486486,58.24324324
Fannin,38.20725389,38.52849741,38.84974093,39.17357513,39.49481865,39.81865285,40.13989637,40.4611399,40.78497409,41.10621762,41.43005181,42.41450777,43.4015544,44.38601036,45.37305699,46.36010363,47.34455959,48.33160622,49.31606218,50.30310881,51.29015544,52.29274611,53.29792746,54.30051813,55.30569948,56.31088083,57.3134715,58.31865285,59.32124352,60.32642487,61.33160622,61.2357513,61.16062176,61.71761658,61.77720207,63.25906736,64.74352332,65.60103627
Fayette,147.4263959,164.3654822,181.3045685,198.2436548,215.1827411,232.1269036,249.0659898,266.0050761,282.9441624,299.8832487,316.8274112,331.4670051,346.1116751,360.7563452,375.4010152,390.0456853,404.6852792,419.3299492,433.9746193,448.6192893,463.2639594,471.2182741,479.177665,487.1370558,495.0913706,503.0507614,511.0101523,518.964467,526.9238579,534.8832487,542.8426396,544.2233503,545.177665,548.8781726,554.9238579,559.8274112,564.7106599,571.3147208
Floyd,155.5555556,155.8382066,156.1208577,156.4035088,156.6861598,156.9688109,157.251462,157.5341131,157.8167641,158.0994152,158.3840156,160.1988304,162.0136452,163.8304094,165.6452242,167.4619883,169.2768031,171.0916179,172.9083821,174.7231969,176.539961,177.6822612,178.8245614,179.9668616,181.1111111,182.2534113,183.3957115,184.539961,185.6822612,186.8245614,187.9688109,187.5653021,187.1345029,186.9805068,187.0545809,187.6081871,188.3430799,190.2787524
Forsyth,123.7079646,130.840708,137.9778761,145.1106195,152.2477876,159.380531,166.5176991,173.6504425,180.7876106,187.920354,195.0575221,219.0929204,243.1283186,267.1681416,291.2035398,315.2433628,339.2787611,363.3141593,387.3539823,411.3893805,435.4292035,470.1017699,504.7743363,539.4469027,574.119469,608.7920354,643.4646018,678.1371681,712.8097345,747.4823009,782.1548673,805.460177,827.9911504,859.0132743,897.9867257,935.3274336,973.7477876,1008.70354
Franklin,57.73764259,58.29277567,58.85171103,59.40684411,59.96577947,60.52091255,61.07984791,61.63498099,62.19391635,62.74904943,63.30798479,64.68821293,66.07224335,67.45247148,68.8365019,70.21673004,71.60076046,72.98098859,74.36501901,75.74524715,77.12927757,77.80608365,78.48669202,79.16730038,79.84410646,80.52471483,81.20532319,81.88212928,82.56273764,83.24334601,83.92395437,83.53992395,83.34980989,83.82889734,84.35741445,84.7148289,84.81368821,86.76806084
